,Title,Poem,Poem_for_Human
10,Acquainted With The Night,have been one acquainted with the night have walked out in rain and back in rain have outwalked the furthest city light have looked down the saddest city lane have passed by the watchman on his beat and dropped my eyes unwilling to explain have stood still and stopped the sound of feet when far away an interrupted cry came over houses from another street but not to call me back or say good bye and further still at an unearthly height luminary clock against the sky proclaimed the time was neither wrong nor right have been one acquainted with the night,"I have been one acquainted with the night.
I have walked out in rain — and back in rain.
I have outwalked the furthest city light.

I have looked down the saddest city lane.
I have passed by the watchman on his beat
And dropped my eyes, unwilling to explain.

I have stood still and stopped the sound of feet
When far away an interrupted cry
Came over houses from another street,

But not to call me back or say good-bye;
And further still at an unearthly height,
A luminary clock against the sky

Proclaimed the time was neither wrong nor right.
I have been one acquainted with the night.     "
11,God's Garden,god made beatous garden with lovely flowers strown but one straight narrow pathway that was not overgrown and to this beauteous garden he brought mankind to live and said to you my children these lovely flowers give prune ye my vines and fig trees with care my flowerets tend but keep the pathway open your home is at the end then came another master who did not love mankind and planted on the pathway gold flowers for them to find and mankind saw the bright flowers that glitt ring in the sun quite hid the thorns of av rice that poison blood and bone and far off many wandered and when life night came on they still were seeking gold flowers lost helpless and alone cease to heed the glamour that blinds your foolish eyes look upward to the glitter of stars in god clear skies their ways are pure and harmless and will not lead astray bid aid your erring footsteps to keep the narrow way and when the sun shines brightly tend flowers that god has given and keep the pathway open that leads you on to heaven,"God made a beatous garden
With lovely flowers strown,
But one straight, narrow pathway
That was not overgrown.
And to this beauteous garden
He brought mankind to live,
And said: ""To you, my children,
These lovely flowers I give.
Prune ye my vines and fig trees,
With care my flowerets tend,
But keep the pathway open
Your home is at the end.""

Then came another master,
Who did not love mankind,
And planted on the pathway
Gold flowers for them to find.
And mankind saw the bright flowers,
That, glitt'ring in the sun,
Quite hid the thorns of av'rice
That poison blood and bone;
And far off many wandered,
And when life's night came on,
They still were seeking gold flowers,
Lost, helpless and alone.


O, cease to heed the glamour
That blinds your foolish eyes,
Look upward to the glitter
Of stars in God's clear skies.
Their ways are pure and harmless
And will not lead astray,
Bid aid your erring footsteps
To keep the narrow way.
And when the sun shines brightly
Tend flowers that God has given
And keep the pathway open
That leads you on to heaven.     "
12,The Oven Bird,there is singer everyone has heard loud mid summer and mid wood bird who makes the solid tree trunks sound again he says that leaves are old and that for flowers mid summer is to spring as one to ten he says the early petal fall is past when pear and cherry bloom went down in showers on sunny days moment overcast and comes that other fall we name the fall he says the highway dust is over all the bird would cease and be as other birds but that he knows in singing not to sing the question that he frames in all but words is what to make of diminished thing the oven bird warbler is also known as the teacher bird after its call,"There is a singer everyone has heard,
   Loud, a mid-summer and a mid-wood bird,
   Who makes the solid tree trunks sound again.
   He says that leaves are old and that for flowers
   Mid-summer is to spring as one to ten.
   He says the early petal-fall is past
   When pear and cherry bloom went down in showers
   On sunny days a moment overcast;
   And comes that other fall we name the fall.
  He says the highway dust is over all.
  The bird would cease and be as other birds
  But that he knows in singing not to sing.
  The question that he frames in all but words
  Is what to make of a diminished thing.1.The oven bird, a warbler, is also known as the ""teacher"" bird after its call.     "
13,Mending Wall,something there is that does not love wall that sends the frozen ground swell under it and spills the upper boulders in the sun and makes gaps even two can pass abreast the work of hunters is another thing have come after them and made repair where they have left not one stone on stone but they would have the rabbit out of hiding to please the yelping dogs the gaps mean no one has seen them made or heard them made but at spring mending time we find them there let my neighbor know beyond the hill and on day we meet to walk the line and set the wall between us once again we keep the wall between us as we go to each the boulders that have fallen to each and some are loaves and some so nearly balls we have to use spell to make them balance stay where you are until our backs are turned we wear our fingers rough with handling them oh just another kind of out door game one on side it comes to little more there where it is we do not need the wall he is all pine and am apple orchard my apple trees will never get across and eat the cones under his pines tell him he only says good fences make good neighbors spring is the mischief in me and wonder if could put notion in his head why do they make good neighbors is not it where there are cows but here there are no cows before built wall would ask to know what was walling in or walling out and to whom was like to give offence something there is that does not love wall that wants it down could say elves to him but it is not elves exactly and would rather he said it for himself see him there bringing stone grasped firmly by the top in each hand like an old stone savage armed he moves in darkness as it seems to me not of woods only and the shade of trees he will not go behind his father saying and he likes having thought of it so well he says again good fences make good neighbors composition date is unknown the above date represents the first publication date the lyrical form of this poem is unrhyming frost notes in north of noston that this poem takes up the theme where tuft of flowers in boy will his first volume of poems published in 1913 laid it down,"Something there is that doesn't love a wall,
That sends the frozen-ground-swell under it,
And spills the upper boulders in the sun;
And makes gaps even two can pass abreast.
The work of hunters is another thing:
I have come after them and made repair
Where they have left not one stone on a stone,
But they would have the rabbit out of hiding,
To please the yelping dogs. The gaps I mean,
No one has seen them made or heard them made,
But at spring mending-time we find them there.
I let my neighbor know beyond the hill;
And on a day we meet to walk the line
And set the wall between us once again.
We keep the wall between us as we go.
To each the boulders that have fallen to each.
And some are loaves and some so nearly balls
We have to use a spell to make them balance:
""Stay where you are until our backs are turned!""
We wear our fingers rough with handling them.
Oh, just another kind of out-door game,
One on a side. It comes to little more:
There where it is we do not need the wall:
He is all pine and I am apple orchard.
My apple trees will never get across
And eat the cones under his pines, I tell him.
He only says, ""Good fences make good neighbors.""
Spring is the mischief in me, and I wonder
If I could put a notion in his head:
""Why do they make good neighbors? Isn't it
Where there are cows? But here there are no cows.
Before I built a wall I'd ask to know
What I was walling in or walling out,
And to whom I was like to give offence.
Something there is that doesn't love a wall,
That wants it down."" I could say ""Elves"" to him,
But it's not elves exactly, and I'd rather
He said it for himself. I see him there
Bringing a stone grasped firmly by the top
In each hand, like an old-stone savage armed.
He moves in darkness as it seems to me,
Not of woods only and the shade of trees.
He will not go behind his father's saying,
And he likes having thought of it so well
He says again, ""Good fences make good neighbors.""Composition date is unknown - the above date represents the first publication date.
The lyrical form of this poem is unrhyming.

1.Frost notes in North of Noston that this poem ""takes 
up the theme where A Tuft of Flowers in A Boy's
Will [his first volume of poems, published in 1913] laid
it down.""     "
14,The Objection To Being Stepped On,at the end of the row stepped on the toe of an unemployed hoe it rose in offense and struck me blow in the seat of my sense it was not to blame but called it name and must say it dealt me blow that felt like malice prepense you may call me fool but was there rule the weapon should be turned into tool and what do we see the first tool step on turned into weapon,"At the end of the row 
I stepped on the toe 
Of an unemployed hoe. 
It rose in offense 
And struck me a blow 
In the seat of my sense. 
It wasn't to blame 
But I called it a name. 
And I must say it dealt 
Me a blow that I felt 
Like a malice prepense. 
You may call me a fool, 
But was there a rule 
The weapon should be 
Turned into a tool? 
And what do we see? 
The first tool I step on 
Turned into a weapon.     "
15,A Patch Of Old Snow,there is patch of old snow in corner that should have guessed was blow away paper the rain had brought to rest it is speckled with grime as if small print overspread it the news of day have forgotten if ever read it,"There's a patch of old snow in a corner
That I should have guessed
Was a blow-away paper the rain
Had brought to rest.

It is speckled with grime as if
Small print overspread it,
The news of a day I've forgotten —
If I ever read it.     "
16,After Apple Picking,my long two pointed ladder sticking through tree toward heaven still and there is barrel that did not fill beside it and there may be two or three apples did not pick upon some bough but am done with apple picking now essence of winter sleep is on the night the scent of apples am drowsing off cannot rub the strangeness from my sight got from looking through pane of glass skimmed this morning from the drinking trough and held against the world of hoary grass it melted and let it fall and break but was well upon my way to sleep before it fell and could tell what form my dreaming was about to take magnified apples appear and disappear stem end and blossom end and every fleck of russet showing clear my instep arch not only keeps the ache it keeps the pressure of ladder round feel the ladder sway as the boughs bend and keep hearing from the cellar bin the rumbling sound of load on load of apples coming in for have had too much of apple picking am overtired of the great harvest myself desired there were ten thousand thousand fruit to touch cherish in hand lift down and not let fall for all that struck the earth no matter if not bruised or spiked with stubble went surely to the cider apple heap as of no worth one can see what will trouble this sleep of mine whatever sleep it is were he not gone the woodchuck could say whether it is like his long sleep as describe its coming on or just some human sleep,"My long two-pointed ladder's sticking through a tree
Toward heaven still,
And there's a barrel that I didn't fill
Beside it, and there may be two or three
Apples I didn't pick upon some bough.
But I am done with apple-picking now.
Essence of winter sleep is on the night,
The scent of apples: I am drowsing off.
I cannot rub the strangeness from my sight
I got from looking through a pane of glass
I skimmed this morning from the drinking trough
And held against the world of hoary grass.
It melted, and I let it fall and break.
But I was well
Upon my way to sleep before it fell,
And I could tell
What form my dreaming was about to take.
Magnified apples appear and disappear,
Stem end and blossom end,
And every fleck of russet showing clear.
My instep arch not only keeps the ache,
It keeps the pressure of a ladder-round.
I feel the ladder sway as the boughs bend.
And I keep hearing from the cellar bin
The rumbling sound
Of load on load of apples coming in.
For I have had too much
Of apple-picking: I am overtired
Of the great harvest I myself desired.
There were ten thousand thousand fruit to touch,
Cherish in hand, lift down, and not let fall.
For all
That struck the earth,
No matter if not bruised or spiked with stubble,
Went surely to the cider-apple heap
As of no worth.
One can see what will trouble
This sleep of mine, whatever sleep it is.
Were he not gone,
The woodchuck could say whether it's like his
Long sleep, as I describe its coming on,
Or just some human sleep.     "
17,Birches,when see birches bend to left and right across the lines of straighter darker trees like to think some boy been swinging them but swinging does not bend them down to stay ice storms do that often you must have seen them loaded with ice sunny winter morning after rain they click upon themselves as the breeze rises and turn many colored as the stir cracks and crazes their enamel soon the sun warmth makes them she would crystal shells shattering and avalanching on the snow crust— such heaps of broken glass to sweep away you would think the inner dome of heaven had fallen they are dragged to the withered bracken by the load and they seem not to break though once they are bowed so low for long they never right themselves you may see their trunks arching in the woods years afterwards trailing their leaves on the ground like girls on hands and knees that throw their hair before them over their heads to dry in the sun but was going to say when truth broke in with all her matter of fact about the ice storm now am free to be poetical should prefer to have some boy bend them as he went out and in to fetch the cows— some boy too far from town to learn baseball whose only play was what he found himself summer or winter and could play alone one by one he subdued his father trees by riding them down over and over again until he took the stiffness out of them and not one but hung limp not one was left for him to conquer he learned all there was to learn about not launching out too soon and so not carrying the tree away clear to the ground he always kept his poise to the top branches climbing carefully with the same pains you use to fill cup up to the brim and even above the brim then he flung outward feet first with swish kicking his way down through the air to the ground so was once myself swinger of birches and so dream of going back to be it is when am weary of considerations and life is too much like pathless wood where your face burns and tickles with the cobwebs broken across it and one eye is weeping from twig having lashed across it open would like to get away from earth awhile and then come back to it and begin over may no fate willfully misunderstand me and half grant what wish and snatch me away not to return earth the right place for love do not know where it is likely to go better would like to go by climbing birch tree and climb black branches up snow white trunk toward heaven till the tree could bear no more but dipped its top and set me down again that would be good both going and coming back one could do worse than be swinger of birches composition date is unknown the above date represents the first publication date the lyrical form of this poem is unrhyming ice storms do that as ice storms do in robert frost collected poems prose plays library of america 1995 117 later revised text 14 bracken fern with large leaves and creeping roots often found in clusters 23 line omitted in library of america edition 56 snow white trunk birches have white bark,"When I see birches bend to left and right
Across the lines of straighter darker trees,
I like to think some boy's been swinging them.
But swinging doesn't bend them down to stay.
Ice-storms do that. Often you must have seen them
Loaded with ice a sunny winter morning
After a rain. They click upon themselves
As the breeze rises, and turn many-colored
As the stir cracks and crazes their enamel.
Soon the sun's warmth makes them shed crystal shells
Shattering and avalanching on the snow-crust—
Such heaps of broken glass to sweep away
You'd think the inner dome of heaven had fallen.
They are dragged to the withered bracken by the load,
And they seem not to break; though once they are bowed
So low for long, they never right themselves:
You may see their trunks arching in the woods
Years afterwards, trailing their leaves on the ground
Like girls on hands and knees that throw their hair
Before them over their heads to dry in the sun.
But I was going to say when Truth broke in
With all her matter-of-fact about the ice-storm
(Now am I free to be poetical?)
I should prefer to have some boy bend them
As he went out and in to fetch the cows—
Some boy too far from town to learn baseball,
Whose only play was what he found himself,
Summer or winter, and could play alone.
One by one he subdued his father's trees
By riding them down over and over again
Until he took the stiffness out of them,
And not one but hung limp, not one was left
For him to conquer. He learned all there was
To learn about not launching out too soon
And so not carrying the tree away
Clear to the ground. He always kept his poise
To the top branches, climbing carefully
With the same pains you use to fill a cup
Up to the brim, and even above the brim.
Then he flung outward, feet first, with a swish,
Kicking his way down through the air to the ground.
So was I once myself a swinger of birches.
And so I dream of going back to be.
It's when I'm weary of considerations,
And life is too much like a pathless wood
Where your face burns and tickles with the cobwebs
Broken across it, and one eye is weeping
From a twig's having lashed across it open.
I'd like to get away from earth awhile
And then come back to it and begin over.
May no fate willfully misunderstand me
And half grant what I wish and snatch me away
Not to return. Earth's the right place for love:
I don't know where it's likely to go better.
I'd like to go by climbing a birch tree,
And climb black branches up a snow-white trunk
Toward heaven, till the tree could bear no more,
But dipped its top and set me down again.
That would be good both going and coming back.
One could do worse than be a swinger of birches.Composition date is unknown - the above date represents the first publication date.
The lyrical form of this poem is unrhyming. 

5. Ice-storms do that. ""As ice-storms do."" in Robert Frost, Collected Poems,
Prose, & Plays (Library of America, 1995), p. 117 (a later, revised text).

14. bracken: a fern with large leaves and creeping roots, often found in clusters.

23. Line omitted in Library of America edition.

56. a snow-white trunk: birches have a white bark.     "
18,A Boundless Moment,he halted in the wind and what was that far in the maples pale but not ghost he stood there bringing march against his thought and yet too ready to believe the most oh that is the paradise in bloom said and truly it was fair enough for flowers had we but in us to assume in march such white luxuriance of may for ours we stood moment so in strange world myself as one his own pretense deceives and then said the truth and we moved on young beech clinging to its last year leaves,"He halted in the wind, and — what was that
Far in the maples, pale, but not a ghost?
He stood there bringing March against his thought,
And yet too ready to believe the most.

""Oh, that's the Paradise-in-bloom,"" I said;
And truly it was fair enough for flowers
had we but in us to assume in march
Such white luxuriance of May for ours.

We stood a moment so in a strange world,
Myself as one his own pretense deceives;
And then I said the truth (and we moved on).
A young beech clinging to its last year's leaves.     "
19,A Late Walk,when go up through the mowing field the headless aftermath smooth laid like thatch with the heavy dew half closes the garden path and when come to the garden ground the whir of sober birds up from the tangle of withered weeds is sadder than any words tree beside the wall stands bare but leaf that lingered brown disturbed doubt not by my thought comes softly rattling down end not far from my going forth by picking the faded blue of the last remaining aster flower to carry again to you,"When I go up through the mowing field,
The headless aftermath,
    Smooth-laid like thatch with the heavy dew,
  Half closes the garden path.

    And when I come to the garden ground,
The whir of sober birds
  Up from the tangle of withered weeds
  Is sadder than any words

A tree beside the wall stands bare,
  But a leaf that lingered brown,
    Disturbed, I doubt not, by my thought,
  Comes softly rattling down.

  I end not far from my going forth
    By picking the faded blue
Of the last remaining aster flower
  To carry again to you.      "
