,Title,Poem,Poem_for_Human
10,The Chimney Sweeper,little black thing in the snow crying weep weep in notes of woe where are thy father and mother say they are both gone up to the church to pray because was happy upon the heath and smiled among the winter snow they clothed me in the clothes of death and taught me to sing the notes of woe and because am happy and dance and sing they think they have done me no injury and are gone to praise god and his priest and king who make up heaven of our misery,"A little black thing in the snow,
 Crying ""weep! weep!"" in notes of woe!
 ""Where are thy father and mother? Say!""—
 ""They are both gone up to the church to pray.

 ""Because I was happy upon the heath,
 And smiled among the winter's snow,
 They clothed me in the clothes of death,
 And taught me to sing the notes of woe.

 ""And because I am happy and dance and sing,
 They think they have done me no injury,
 And are gone to praise God and his priest and king,
 Who make up a heaven of our misery.""     "
11,The Fly,little fly thy summer play my thoughtless hand has brushed away am not fly like thee or art not thou man like me for dance and drink and sing till some blind hand shall brush my wing if thought is life and strength and breath and the want of thought is death then am happy fly if live or if die illustrated by william blake in songs of innocence and of experience 1794,"
	Little Fly,
	Thy summer's play
	My thoughtless hand
	Has brushed away.
	Am not I
	A fly like thee?
	Or art not thou
	A man like me?
	For I dance
	And drink, and sing,
	Till some blind hand
	Shall brush my wing.
	If thought is life
	And strength and breath
	And the want
	Of thought is death;
	Then am I
	A happy fly,
	If I live,
	Or if I die.
	illustrated by William Blake in ""Songs of Innocence and of Experience"", 1794     "
12,A Dream,once dream did weave shade over my angel guarded bed that an emmet lost its way where on grass methought lay troubled wildered and forlorn dark benighted travel worn over many tangle spray all heart broke heard her say oh my children do they cry do they hear their father sigh now they look abroad to see now return and weep for me pitying dropped tear but saw glow worm near who replied what wailing wight calls the watchman of the night am set to light the ground while the beetle goes his round follow now the beetle hum little wanderer hie thee home,"Once a dream did weave a shade
 O'er my angel-guarded bed,
 That an emmet lost its way
 Where on grass methought I lay.

 Troubled, wildered, and forlorn,
 Dark, benighted, travel-worn,
 Over many a tangle spray,
 All heart-broke, I heard her say:

 ""Oh my children! do they cry,
 Do they hear their father sigh?
 Now they look abroad to see,
 Now return and weep for me.""

 Pitying, I dropped a tear:
 But I saw a glow-worm near,
 Who replied, ""What wailing wight
 Calls the watchman of the night?

 ""I am set to light the ground,
 While the beetle goes his round:
 Follow now the beetle's hum;
 Little wanderer, hie thee home!""     "
13,My Pretty Rose Tree,flower was offered to me such flower as may never bore but said have pretty rose tree and passed the sweet flower over then went to my pretty rose tree to tend her by day and by night but my rose turned away with jealousy and her thorns were my only delight,"A flower was offered to me,
   Such a flower as May never bore;
 But I said ""I've a pretty rose tree,""
   And I passed the sweet flower o'er.

 Then I went to my pretty rose tree,
   To tend her by day and by night;
 But my rose turned away with jealousy,
   And her thorns were my only delight.     "
14,Auguries of Innocence,to see world in grain of sand and heaven in wild flower hold infinity in the palm of your hand and eternity in an hour robin red breast in cage puts all heaven in rage dove house fill with doves pigeons shudders hell thro all its regions dog starv at his master gate predicts the ruin of the state horse misus upon the road calls to heaven for human blood each outcry of the hunted hare fibre from the brain does tear skylark wounded in the wing cherubim does cease to sing the game cock clipp and arm for fight does the rising sun affright every wolf lion howl raises from hell human soul the wild deer wand ring here there keeps the human soul from care the lamb misus breeds public strife and yet forgives the butcher knife the bat that flits at close of eve has left the brain that will not believe the owl that calls upon the night speaks the unbeliever fright he who shall hurt the little wren shall never be belov by men he who the ox to wrath has mov shall never be by woman lov the wanton boy that kills the fly shall feel the spider enmity he who torments the chafer sprite weaves bower in endless night the catterpillar on the leaf repeats to thee thy mother grief kill not the moth nor butterfly for the last judgement draweth nigh he who shall train the horse to war shall never pass the polar bar the beggar dog widow cat feed them thou wilt grow fat the gnat that sings his summer song poison gets from slander tongue the poison of the snake newt is the sweat of envy foot the poison of the honey bee is the artist jealousy the prince robes beggars rags are toadstools on the miser bags truth that is told with bad intent beats all the lies you can invent it is right it should be so man was made for joy woe and when this we rightly know thro the world we safely go joy woe are woven fine clothing for the soul divine under every grief pine runs joy with silken twine the babe is more than swadling bands throughout all these human lands tools were made born were hands every farmer understands every tear from every eye becomes babe in eternity this is caught by females bright and return to its own delight the bleat the bark bellow roar are waves that beat on heaven shore the babe that weeps the rod beneath writes revenge in realms of death the beggar rags fluttering in air does to rags the heavens tear the soldier arm with sword gun palsied strikes the summer sun the poor man farthing is worth more than all the gold on afric shore one mite wrung from the labrer hands shall buy sell the miser lands or if protected from on high does that whole nation sell buy he who mocks the infant faith shall be mock in age death he who shall teach the child to doubt the rotting grave shall never get out he who respects the infant faith triumph over hell death the child toys the old man reasons are the fruits of the two seasons the questioner who sits so sly shall never know how to reply he who replies to words of doubt doth put the light of knowledge out the strongest poison ever known came from caesar laurel crown nought can deform the human race like the armour iron brace when gold gems adorn the plow to peaceful arts shall envy bow riddle or the cricket cry is to doubt fit reply the emmet inch eagle mile make lame philosophy to smile he who doubts from what he sees will never believe do what you please if the sun moon should doubt they would immediately go out to be in passion you good may do but no good if passion is in you the whore gambler by the state licenc build that nation fate the harlot cry from street to street shall weave old england winding sheet the winner shout the loser curse dance before dead england hearse every night every morn some to misery are born every morn every night some are born to sweet delight some ar born to sweet delight some are born to endless night we are led to believe lie when we see not thro the eye which was born in night to perish in night when the soul slept in beams of light god appears god is light to those poor souls who dwell in the night but does human form display to those who dwell in realms of day,"To see a World in a Grain of Sand
And a Heaven in a Wild Flower,
Hold Infinity in the palm of your hand
And Eternity in an hour. 

A Robin Red breast in a Cage
Puts all Heaven in a Rage.
A dove house fill'd with doves & Pigeons
Shudders Hell thro' all its regions.
A dog starv'd at his Master's Gate
Predicts the ruin of the State.
A Horse misus'd upon the Road
Calls to Heaven for Human blood.
Each outcry of the hunted Hare
A fibre from the Brain does tear.
A Skylark wounded in the wing,
A Cherubim does cease to sing.
The Game Cock clipp'd and arm'd for fight
Does the Rising Sun affright.
Every Wolf's & Lion's howl
Raises from Hell a Human Soul.
The wild deer, wand'ring here & there,
Keeps the Human Soul from Care.
The Lamb misus'd breeds public strife
And yet forgives the Butcher's Knife.
The Bat that flits at close of Eve
Has left the Brain that won't believe.
The Owl that calls upon the Night
Speaks the Unbeliever's fright.
He who shall hurt the little Wren
Shall never be belov'd by Men.
He who the Ox to wrath has mov'd
Shall never be by Woman lov'd.
The wanton Boy that kills the Fly
Shall feel the Spider's enmity.
He who torments the Chafer's sprite
Weaves a Bower in endless Night.
The Catterpillar on the Leaf
Repeats to thee thy Mother's grief.
Kill not the Moth nor Butterfly,
For the Last Judgement draweth nigh.
He who shall train the Horse to War
Shall never pass the Polar Bar.
The Beggar's Dog & Widow's Cat,
Feed them & thou wilt grow fat.
The Gnat that sings his Summer's song
Poison gets from Slander's tongue.
The poison of the Snake & Newt
Is the sweat of Envy's Foot.
The poison of the Honey Bee
Is the Artist's Jealousy.
The Prince's Robes & Beggars' Rags
Are Toadstools on the Miser's Bags.
A truth that's told with bad intent
Beats all the Lies you can invent.
It is right it should be so;
Man was made for Joy & Woe;
And when this we rightly know
Thro' the World we safely go.
Joy & Woe are woven fine,
A Clothing for the Soul divine;
Under every grief & pine
Runs a joy with silken twine.
The Babe is more than swadling Bands;
Throughout all these Human Lands
Tools were made, & born were hands,
Every Farmer Understands.
Every Tear from Every Eye
Becomes a Babe in Eternity.
This is caught by Females bright
And return'd to its own delight.
The Bleat, the Bark, Bellow & Roar
Are Waves that Beat on Heaven's Shore.
The Babe that weeps the Rod beneath
Writes Revenge in realms of death.
The Beggar's Rags, fluttering in Air,
Does to Rags the Heavens tear.
The Soldier arm'd with Sword & Gun,
Palsied strikes the Summer's Sun.
The poor Man's Farthing is worth more
Than all the Gold on Afric's Shore.
One Mite wrung from the Labrer's hands
Shall buy & sell the Miser's lands:
Or, if protected from on high,
Does that whole Nation sell & buy.
He who mocks the Infant's Faith
Shall be mock'd in Age & Death.
He who shall teach the Child to Doubt
The rotting Grave shall ne'er get out.
He who respects the Infant's faith
Triumph's over Hell & Death.
The Child's Toys & the Old Man's Reasons
Are the Fruits of the Two seasons.
The Questioner, who sits so sly,
Shall never know how to Reply.
He who replies to words of Doubt
Doth put the Light of Knowledge out.
The Strongest Poison ever known
Came from Caesar's Laurel Crown.
Nought can deform the Human Race
Like the Armour's iron brace.
When Gold & Gems adorn the Plow
To peaceful Arts shall Envy Bow.
A Riddle or the Cricket's Cry
Is to Doubt a fit Reply.
The Emmet's Inch & Eagle's Mile
Make Lame Philosophy to smile.
He who Doubts from what he sees
Will ne'er believe, do what you Please.
If the Sun & Moon should doubt
They'd immediately Go out.
To be in a Passion you Good may do,
But no Good if a Passion is in you.
The Whore & Gambler, by the State
Licenc'd, build that Nation's Fate.
The Harlot's cry from Street to Street
Shall weave Old England's winding Sheet.
The Winner's Shout, the Loser's Curse,
Dance before dead England's Hearse.
Every Night & every Morn
Some to Misery are Born.
Every Morn & every Night
Some are Born to sweet Delight.
Some ar Born to sweet Delight,
Some are born to Endless Night.
We are led to Believe a Lie
When we see not Thro' the Eye
Which was Born in a Night to Perish in a Night
When the Soul Slept in Beams of Light.
God Appears & God is Light
To those poor Souls who dwell in the Night,
But does a Human Form Display
To those who Dwell in Realms of day.     "
15,The Lily,the modest rose puts forth thorn the humble sheep threat ning horn while the lily white shall in love delight nor thorn nor threat stain her beauty bright,"The modest Rose puts forth a thorn,
 The humble sheep a threat'ning horn:
 While the Lily white shall in love delight,
 Nor a thorn nor a threat stain her beauty bright.     "
16,Laughing Song,when the green woods laugh with the voice of joy and the dimpling stream runs laughing by when the air does laugh with our merry wit and the green hill laughs with the noise of it when the meadows laugh with lively green and the grasshopper laughs in the merry scene when mary and susan and emily with their sweet round mouths sing ha ha he when the painted birds laugh in the shade where our table with cherries and nuts is spread come live and be merry and join with me to sing the sweet chorus of ha ha he,"When the green woods laugh with the voice of joy, And the dimpling stream runs laughing by; When the air does laugh with our merry wit, And the green hill laughs with the noise of it;  when the meadows laugh with lively green, And the grasshopper laughs in the merry scene, When Mary and Susan and Emily With their sweet round mouths sing ""Ha, ha he!""  When the painted birds laugh in the shade, Where our table with cherries and nuts is spread: Come live, and be merry, and join with me, To sing the sweet chorus of ""Ha, ha, he!""     "
17,The Garden of Love,laid me down upon bank where love lay sleeping heard among the rushes dank weeping weeping then went to the heath and the wild to the thistles and thorns of the waste and they told me how they were beguiled driven out and compelled to the chaste went to the garden of love and saw what never had seen chapel was built in the midst where used to play on the green and the gates of this chapel were shut and thou shalt not writ over the door so turned to the garden of love that so many sweet flowers bore and saw it was filled with graves and tombstones where flowers should be and priests in black gowns were walking their rounds and binding with briars my joys and desires,"I laid me down upon a bank,
   Where Love lay sleeping;
 I heard among the rushes dank
   Weeping, weeping.

 Then I went to the heath and the wild,
   To the thistles and thorns of the waste;
 And they told me how they were beguiled,
   Driven out, and compelled to the chaste.

 I went to the Garden of Love,
   And saw what I never had seen;
 A Chapel was built in the midst,
   Where I used to play on the green.

 And the gates of this Chapel were shut
   And ""Thou shalt not,"" writ over the door;
 So I turned to the Garden of Love
   That so many sweet flowers bore.

 And I saw it was filled with graves,
   And tombstones where flowers should be;
 And priests in black gowns were walking their rounds,
   And binding with briars my joys and desires.     "
18,The Little Black Boy,my mother bore me in the southern wild and am black but oh my soul is white white as an angel is the english child but am black as if bereaved of light my mother taught me underneath tree and sitting down before the heat of day she took me on her lap and kissed me and pointed to the east began to say look on the rising sun there god does live and gives his light and gives his heat away and flowers and trees and beasts and men receive comfort in morning joy in the noonday and we are put on earth little space that we may learn to bear the beams of love and these black bodies and this sunburnt face is but cloud and like shady grove for when our souls have learn the heat to bear the cloud will vanish we shall hear his voice saying come out from the grove my love and care and round my golden tent like lambs rejoice thus did my mother say and kissed me and thus say to little english boy when from black and he from white cloud free and round the tent of god like lambs we joy will shade him from the heat till he can bear to lean in joy upon our father knee and then will stand and stroke his silver hair and be like him and he will then love me,"My mother bore me in the southern wild,
   And I  am black, but oh my soul is white!
 White as an angel is the English child,
   But I am black, as if bereaved of light.

 My mother taught me underneath a tree,
   And, sitting down before the heat of day,
 She took me on her lap and kissed me,
   And, pointed to the east, began to say:

 ""Look on the rising sun: there God does live,
   And gives His light, and gives His heat away,
 And flowers and trees and beasts and men receive
   Comfort in morning, joy in the noonday.

 ""And we are put on earth a little space,
   That we may learn to bear the beams of love
 And these black bodies and this sunburnt face
   Is but a cloud, and like a shady grove.

 ""For when our souls have learn'd the heat to bear,
   The cloud will vanish, we shall hear His voice,
 Saying, 'Come out from the grove, my love and care
   And round my golden tent like lambs rejoice',""

 Thus did my mother say, and kissed me;
 And thus I say to little English boy.
 When I from black and he from white cloud free,
 And round the tent of God like lambs we joy

 I'll shade him from the heat till he can bear
 To lean in joy upon our Father's knee;
 And then I'll stand and stroke his silver hair,
 And be like him, and he will then love me.      "
19,The Wild Flower's Song,as wandered the forest the green leaves among heard wild flower singing song slept in the earth in the silent night murmured my fears and felt delight in the morning went as rosy as morn to seek for new joy but oh met with scorn,"As I wandered the forest,
The green leaves among,
I heard a Wild Flower
Singing a song.

""I slept in the earth
In the silent night,
I murmured my fears
And I felt delight.

""In the morning I went
As rosy as morn,
To seek for new joy;
But oh! met with scorn.""     "
20,Earth's Answer,earth raised up her head from the darkness dread and drear her light fled stony dread and her locks covered with grey despair prisoned on watery shore starry jealousy does keep my den cold and hoar weeping re hear the father of the ancient men selfish father of men cruel jealous selfish fear can delight chained in night the virgins of youth and morning bear does spring hide its joy when buds and blossoms grow does the sower sow by night or the plowman in darkness plough break this heavy chain that does freeze my bones around selfish vain eternal bane that free love with bondage bound,"Earth raised up her head
 From the darkness dread and drear,
 Her light fled,
 Stony, dread,
 And her locks covered with grey despair.

 ""Prisoned on watery shore,
 Starry jealousy does keep my den
 Cold and hoar;
 Weeping o're,
 I hear the father of the ancient men.

 ""Selfish father of men!
 Cruel, jealous, selfish fear!
 Can delight,
 Chained in night,
 The virgins of youth and morning bear?


 ""Does spring hide its joy,
 When buds and blossoms grow?
 Does the sower 
 Sow by night,
 Or the plowman in darkness plough?

 ""Break this heavy chain,
 That does freeze my bones around!
 Selfish, vain,
 Eternal bane,
 That free love with bondage bound.""     "
21,The Crystal Cabinet,the maiden caught me in the wild where was dancing merrily she put me into her cabinet and lock me up with golden key this cabinet is form of gold and pearl and crystal shining bright and within it opens into world and little lovely moony night another england there saw another london with its tower another thames and other hills and another pleasant surrey bower another maiden like herself translucent lovely shining clear threefold each in the other clos what pleasant trembling fear what smile threefold smile fill me that like flame burn bent to kiss the lovely maid and found threefold kiss return strove to seize the inmost form with ardor fierce and hands of flame but burst the crystal cabinet and like weeping babe became— weeping babe upon the wild and weeping woman pale reclin and in the outward air again fill with woes the passing wind,"The Maiden caught me in the wild,
Where I was dancing merrily;
She put me into her Cabinet,
And lock'd me up with a golden key.

This cabinet is form'd of gold
And pearl and crystal shining bright,
And within it opens into a world
And a little lovely moony night.

Another England there I saw
Another London with its Tower,
Another Thames and other hills,
And another pleasant Surrey bower.

Another Maiden like herself,
Translucent, lovely, shining clear,
Threefold each in the other clos'd
O, what a pleasant trembling fear!

O, what a smile! a threefold smile
Fill'd me, that like a flame I burn'd;
I bent to kiss the lovely Maid,
And found a threefold kiss return'd.

I strove to seize the inmost form
With ardor fierce and hands of flame,
But burst the Crystal Cabinet,
And like a weeping Babe became—

A weeping Babe upon the wild,
And weeping Woman pale reclin'd,
And in the outward air again,
I fill'd with woes the passing wind.
.      "
22,Infant Sorrow,my mother groaned my father wept into the dangerous world leapt helpless naked piping loud like fiend hid in cloud struggling in my father hands striving against my swaddling bands bound and weary thought best to sulk upon my mother breast,"My mother groaned, my father wept,
Into the dangerous world I leapt;
Helpless, naked, piping loud,
Like a fiend hid in a cloud.

Struggling in my father's hands,
Striving against my swaddling bands,
Bound and weary, I thought best
To sulk upon my mother's breast.

     "
23,Night,the sun descending in the west the evening star does shine the birds are silent in their nest and must seek for mine the moon like flower in heaven high bower with silent delight sits and smiles on the night farewell green fields and happy groves where flocks have took delight where lambs have nibbled silent moves the feet of angels bright unseen they pour blessing and joy without ceasing on each bud and blossom and each sleeping bosom they look in every thoughtless nest where birds are covered warm they visit caves of every beast to keep them all from harm if they see any weeping that should have been sleeping they pour sleep on their head and sit down by their bed when wolves and tigers howl for prey they pitying stand and weep seeking to drive their thirst away and keep them from the sheep but if they rush dreadful the angels most heedful receive each mild spirit new worlds to inherit and there the lion ruddy eyes shall flow with tears of gold and pitying the tender cries and walking round the fold saying wrath by his meekness and by his health sickness is driven away from our immortal day and now beside thee bleating lamb can lie down and sleep or think on him who bore thy name graze after thee and weep for washed in life river my bright mane for ever shall shine like the gold as guard over the fold,"The sun descending in the west,
The evening star does shine;
The birds are silent in their nest,
And I must seek for mine.
     The moon, like a flower,
     In heaven's high bower,
     With silent delight
     Sits and smiles on the night.

Farewell, green fields and happy groves,
Where flocks have took delight.
Where lambs have nibbled, silent moves
The feet of angels bright;
     Unseen they pour blessing,
     And joy without ceasing,
     On each bud and blossom,
     And each sleeping bosom.

They look in every thoughtless nest,
Where birds are covered warm;
They visit caves of every beast,
To keep them all from harm.
     If they see any weeping
     That should have been sleeping,
     They pour sleep on their head,
     And sit down by their bed.

When wolves and tigers howl for prey,
They pitying stand and weep;
Seeking to drive their thirst away,
And keep them from the sheep.
     But if they rush dreadful,
     The angels, most heedful,
     Receive each mild spirit,
     New worlds to inherit.

And there the lion's ruddy eyes
Shall flow with tears of gold,
And pitying the tender cries,
And walking round the fold,
     Saying, ""Wrath, by His meekness,
     And, by His health, sickness
     Is driven away
     From our immortal day.

""And now beside thee, bleating lamb,
I can lie down and sleep;
Or think on Him who bore thy name,
Graze after thee and weep.
     For, washed in life's river,
     My bright mane for ever
     Shall shine like the gold
     As I guard o'er the fold.""     "
24,The Echoing Green,the sun does arise and make happy the skies the merry bells ringto welcome the spring the skylark and thrush the birds of the bush sing louder aroundto the bell cheerful sound while our sports shall be seenon the echoing green old john with white hair does laugh away care sitting under the oak among the old folk they laugh at our play and soon they all say such such were the joyswhen we all girls and boys in our youth time were seenon the echoing green till the little ones weary no more can be merry the sun does descend and our sports have an end round the laps of their mothersmany sisters and brother like birds in their nest are ready for rest and sport no more seenon the darkening green,"The sun does arise,And make happy the skies;The merry bells ringTo welcome the spring;The skylark and thrush,The birds of the bush,Sing louder aroundTo the bell's cheerful sound,While our sports shall be seenOn the Echoing Green.Old John with white hair,Does laugh away care,Sitting under the oak,Among the old folk.They laugh at our play,And soon they all say:""Such, such were the joysWhen we all, girls and boys,In our youth time were seenOn the Echoing Green.""Till the little ones, weary,No more can be merry;The sun does descend,And our sports have an end.Round the laps of their mothersMany sisters and brother,Like birds in their nest,Are ready for rest,And sport no more seenOn the darkening Green.     "
25,Nurses Song (Experience),when the voices of children are heard on the green and whisprings are in the dale the days of my youth rise fresh in my mind my face turns green and pale then come home my children the sun is gone down and the dews of night arise your spring your day are wasted in play and your winter and night in disguise,"When the voices of children. are heard on the green
And whisprings are in the dale:
The days of my youth rise fresh in my mind,
My face turns green and pale.

Then come home my children. the sun is gone down
And the dews of night arise
Your spring & your day. are wasted in play
And your winter and night in disguise.     "
26,The Angel,dreamt dream what can it mean and that was maiden queen guarded by an angel mild witless woe was never beguiled and wept both night and day and he wiped my tears away and wept both day and night and hid from him my heart delight so he took his wings and fled then the morn blushed rosy red dried my tears and armed my fears with ten thousand shields and spears soon my angel came again was armed he came in vain for the time of youth was fled and grey hairs were on my head,"I dreamt a dream!  What can it mean?
 And that I was a maiden Queen
 Guarded by an Angel mild:
 Witless woe was ne'er beguiled!

 And I wept both night and day,
 And he wiped my tears away;
 And I wept both day and night,
 And hid from him my heart's delight.

 So he took his wings, and fled;
 Then the morn blushed rosy red.
 I dried my tears, and armed my fears
 With ten-thousand shields and spears.

 Soon my Angel came again;
 I was armed, he came in vain;
 For the time of youth was fled,
 And grey hairs were on my head.     "
